Index,SYT,FlipSYT,FlipFoundQ,RootCount,FlipRootCount,Distance,SameRootsQ,Reason
4681,"{{1, 3, 8, 13, 15}, {2, 5, 10, 14}, {4, 6, 12}, {7, 9}, {11}}","{{1, 2, 4, 5, 9}, {3, 6, 7, 12}, {8, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
4711,"{{1, 2, 5, 13, 15}, {3, 6, 8, 14}, {4, 7, 12}, {9, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 9, 12}, {8, 13, 15}, {10, 14}, {11}}",False,,,,False,FlipSYTNotFound
4722,"{{1, 3, 6, 13, 15}, {2, 5, 10, 14}, {4, 8, 12}, {7, 9}, {11}}","{{1, 2, 4, 5, 9}, {3, 6, 7, 12}, {8, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
4737,"{{1, 3, 8, 13, 15}, {2, 5, 10, 14}, {4, 7, 12}, {6, 9}, {11}}","{{1, 2, 4, 5, 10}, {3, 6, 7, 12}, {8, 9, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
4746,"{{1, 3, 7, 13, 15}, {2, 5, 10, 14}, {4, 8, 12}, {6, 9}, {11}}","{{1, 2, 4, 5, 10}, {3, 6, 7, 12}, {8, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
4795,"{{1, 3, 7, 13, 15}, {2, 6, 10, 14}, {4, 8, 12}, {5, 9}, {11}}","{{1, 2, 4, 5, 11}, {3, 6, 7, 12}, {8, 10, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
4802,"{{1, 3, 4, 10, 15}, {2, 8, 9, 12}, {5, 11, 13}, {6, 14}, {7}}","{{1, 2, 5, 8, 9}, {3, 7, 10, 14}, {4, 11, 13}, {6, 12}, {15}}",False,,,,False,FlipSYTNotFound
4809,"{{1, 3, 7, 13, 15}, {2, 5, 9, 14}, {4, 6, 12}, {8, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 8, 12}, {9, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
4823,"{{1, 3, 6, 13, 15}, {2, 5, 8, 14}, {4, 7, 12}, {9, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 9, 12}, {8, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
5044,"{{1, 3, 7, 13, 15}, {2, 5, 8, 14}, {4, 6, 12}, {9, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 10, 12}, {8, 11, 14}, {9, 15}, {13}}",False,,,,False,FlipSYTNotFound
5069,"{{1, 4, 6, 13, 15}, {2, 5, 8, 14}, {3, 7, 12}, {9, 11}, {10}}","{{1, 2, 4, 5, 6}, {3, 7, 9, 13}, {8, 11, 14}, {10, 15}, {12}}",False,,,,False,FlipSYTNotFound
5202,"{{1, 4, 5, 8, 12}, {2, 6, 9, 10}, {3, 7, 15}, {11, 14}, {13}}","{{1, 2, 3, 9, 13}, {4, 5, 7, 14}, {6, 10, 12}, {8, 15}, {11}}",False,,,,False,FlipSYTNotFound
5250,"{{1, 4, 5, 7, 13}, {2, 6, 8, 14}, {3, 9, 15}, {10, 11}, {12}}","{{1, 4, 6, 12, 13}, {2, 5, 10, 14}, {3, 7, 11}, {8, 15}, {9}}",False,,,,False,FlipSYTNotFound
5296,"{{1, 3, 7, 13, 15}, {2, 5, 10, 14}, {4, 6, 12}, {8, 9}, {11}}","{{1, 2, 4, 5, 8}, {3, 6, 7, 12}, {9, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
5300,"{{1, 4, 5, 9, 12}, {2, 6, 8, 10}, {3, 7, 15}, {11, 14}, {13}}","{{1, 2, 3, 9, 13}, {4, 5, 8, 14}, {6, 10, 12}, {7, 15}, {11}}",False,,,,False,FlipSYTNotFound
5354,"{{1, 4, 5, 7, 12}, {2, 6, 9, 10}, {3, 8, 15}, {11, 14}, {13}}","{{1, 2, 3, 8, 13}, {4, 5, 7, 14}, {6, 10, 12}, {9, 15}, {11}}",False,,,,False,FlipSYTNotFound
5358,"{{1, 4, 5, 6, 7}, {2, 8, 10, 11}, {3, 12, 14}, {9, 15}, {13}}","{{1, 3, 7, 12, 13}, {2, 4, 8, 14}, {5, 6, 11}, {9, 10}, {15}}",False,,,,False,FlipSYTNotFound
5384,"{{1, 3, 6, 13, 15}, {2, 5, 9, 14}, {4, 7, 12}, {8, 10}, {11}}","{{1, 2, 4, 5, 8}, {3, 6, 9, 12}, {7, 11, 14}, {10, 15}, {13}}",False,,,,False,FlipSYTNotFound
5593,"{{1, 6, 8, 10, 13}, {2, 7, 11, 15}, {3, 9, 14}, {4, 12}, {5}}","{{1, 2, 4, 9, 11}, {3, 5, 7, 12}, {6, 8, 13}, {10, 14}, {15}}",False,,,,False,FlipSYTNotFound
5626,"{{1, 3, 4, 5, 11}, {2, 7, 9, 15}, {6, 8, 12}, {10, 14}, {13}}","{{1, 2, 3, 10, 14}, {4, 6, 8, 13}, {5, 7, 15}, {9, 12}, {11}}",False,,,,False,FlipSYTNotFound
5631,"{{1, 3, 10, 11, 12}, {2, 5, 13, 14}, {4, 7, 15}, {6, 8}, {9}}","{{1, 3, 6, 7, 10}, {2, 5, 8, 12}, {4, 9, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
5712,"{{1, 3, 8, 13, 15}, {2, 5, 9, 14}, {4, 6, 12}, {7, 10}, {11}}","{{1, 2, 4, 5, 9}, {3, 6, 10, 12}, {7, 11, 14}, {8, 15}, {13}}",False,,,,False,FlipSYTNotFound
5801,"{{1, 3, 10, 11, 12}, {2, 5, 13, 14}, {4, 6, 15}, {7, 8}, {9}}","{{1, 3, 6, 7, 9}, {2, 5, 8, 12}, {4, 10, 14}, {11, 15}, {13}}",False,,,,False,FlipSYTNotFound
